X,Y,ID,FacilityID,LotName,Community,CD,Address,City,State,Zipcode,Lat,Lon,ConvenientTo,Entrance,Operator,Type,Phone,Hours,HourlyCost,DailyCost,MonthlyCost,SpecialFeatures,Spaces,Status,TOOLTIP,NLA_URL
-118.4473202,34.18574989,250,601,Friar & Sylmar Parking Garage,Van Nuys,6,14401 Friar St,Van Nuys,CA,91401-2125,34.185745,-118.447308,San Fernando Valley Civic Center & shops,Friar St east of Van Nuys Blvd,by General Services Dept,Operated,213-473-5556,5:30am-7pm Mon-Fri,$1.80 ,$7.20 ,$72.00 ,Closed nightly & Sat-Sun all day; max height clearance 6 feet 9 inches,237,Operational,"Friar & Sylmar Parking Garage\n14401 Friar St, Van Nuys CA 91401-2125",navigatela/reports/dot_city_parking_lots.cfm?pk=250
-118.3778362,34.16796789,251,602,Chandler & Tujunga Parking Lot,North Hollywood,4,11320 Chandler Blvd,North Hollywood,CA,91601-3130,34.167963,-118.377824,"Post Office, Metro Red Line & Orange Line Stations",Chandler Blvd west of Bakman Ave,,Metered,311,7am-9pm Daily,$0.50 ,$2.50 ,N/A,,46,Operational,"Chandler & Tujunga Parking Lot\n11320 Chandler Blvd, North Hollywood CA 91601-3130",navigatela/reports/dot_city_parking_lots.cfm?pk=251
-118.4492732,34.18584189,252,609,Friar & Van Nuys Parking Lot,Van Nuys,6,14521 Friar St,Van Nuys,CA,91401-2309,34.185837,-118.449261,San Fernando Valley Civic Center & shops,Friar St west of Van Nuys Blvd,by General Services Dept,Operated,213-473-5556,8am-5pm Mon-Sat,$1.10 ,$5.00 ,$49.50 ,$2.00 flat rate after 2pm,76,Operational,"Friar & Van Nuys Parking Lot\n14521 Friar St, Van Nuys CA 91401-2309",navigatela/reports/dot_city_parking_lots.cfm?pk=252
-118.4494892,34.18750489,253,610,Gilmore & Van Nuys Parking Lot,Van Nuys,6,14532 Gilmore St,Van Nuys,CA,91411-1602,34.1875,-118.449477,San Fernando Valley Civic Center & shops,Gilmore St west of Van Nuys Blvd,by General Services Dept,Operated,213-473-5556,8am-5pm Mon-Fri,$1.10 ,$5.00 ,$38.50 ,$2.00 flat rate after 2pm,138,Operational,"Gilmore & Van Nuys Parking Lot\n14532 Gilmore St, Van Nuys CA 91411-1602",navigatela/reports/dot_city_parking_lots.cfm?pk=253
-118.4586492,33.99149987,254,613,Pisani & Venice Parking Lot,Venice,11,2010 S Pisani Pl,Venice,CA,90291-3817,33.991495,-118.458637,"Pacific Residents Theater, art center & shops",Pisani Pl north of Venice Blvd,,Free,311,8am-6pm Mon-Sat,Free,Free,N/A,10 hrs max time limit,53,Operational,"Pisani & Venice Parking Lot\n2010 S Pisani Pl, Venice CA 90291-3817",navigatela/reports/dot_city_parking_lots.cfm?pk=254
-118.3491801,34.06170688,255,614,Cochran & Wilshire Parking Lot,Miracle Mile,4,728 S Cochran Ave,Wilshire,CA,90036-3813,34.061702,-118.349168,Shops,South Cochran Ave south of Wilshire Blvd, - Pay Station <img id='pnp' src='images/pnplogo.jpg' />,Metered,311,7am-9pm Daily,$1.00 ,$4.00/10 hrs,$30.00 ,9pm-7am overnight parking by monthly permit only,41,Operational,"Cochran & Wilshire Parking Lot\n728 S Cochran Ave, Wilshire CA 90036-3813",navigatela/reports/dot_city_parking_lots.cfm?pk=255
-118.4656182,33.99090887,256,616,California & Electric Parking Lot,Venice,11,1411 Electric Ave,Venice,CA,90291-3733,33.990904,-118.465606,Restaurants & shops,California Ave north of Abbot Kinney Blvd,,Free,311,7am-2am Daily,Free,Free,N/A,"Mon-Fri 8 hrs max time limit, Sat-Sun 4 hrs max time limit; no overnight parking 2am-7am nightly",29,Operational,"California & Electric Parking Lot\n1411 Electric Ave, Venice CA 90291-3733",navigatela/reports/dot_city_parking_lots.cfm?pk=256
-118.4644982,33.99062587,257,617,Milwood & Electric Parking Lot,Venice,11,1511 Electric Ave,Venice,CA,90291-3735,33.990621,-118.464486,Restaurants & shops,Milwood Ave north of Abbot Kinney Blvd,,Free,311,7am-2am Daily,Free,Free,N/A,"Mon-Fri 8 hrs max time limit, Sat-Sun 4 hrs max time limit; no overnight parking 2am-7am nightly",22,Operational,"Milwood & Electric Parking Lot\n1511 Electric Ave, Venice CA 90291-3735",navigatela/reports/dot_city_parking_lots.cfm?pk=257
-118.6001452,34.19986789,258,618,Remmet & Sherman Way East Parking Lot,Canoga Park,3,7134 Remmet Ave,Canoga Park,CA,91303,34.199863,-118.600133,Shops,Remmet Ave south of Sherman Way,,Free,311,8am-6pm Mon-Sat,Free,Free,N/A,2 hrs max time limit,19,Operational,"Remmet & Sherman Way East Parking Lot\n7134 Remmet Ave, Canoga Park CA 91303",navigatela/reports/dot_city_parking_lots.cfm?pk=258
-118.3530122,34.09780489,259,619,Gardner & Sunset Parking Lot,Hollywood,4,1451 Gardner St,Hollywood,CA,90046-4101,34.0978,-118.353,Restaurants & shops,Gardner St south of Sunset Blvd,,Metered,311,7am-12 midnight Daily,$0.75 ,$1.50/2 hrs,N/A,2 hrs max time limit,22,Operational,"Gardner & Sunset Parking Lot\n1451 Gardner St, Hollywood CA 90046-4101",navigatela/reports/dot_city_parking_lots.cfm?pk=259
