ID,Lat,Long,Name
L0,34.4981401,-118.1178253,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipPmFbp-yYMAzMyJLFyo46Oxzlk_kyLnX2aYT3fW=w408-h255-k-no"" , ""link"")"
L1,34.4984001,-118.1186685,,default
L2,34.5106235,-118.1105432,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipPyaBZCC_3GDvoT2b5Ht1n2X47bbUwVWckNsktK=w503-h240-k-no"" , ""link"")"
L3,34.5389584,-118.0843395,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipNbuHEtec6hL-z4HLYV4KfKidIrgIkX-Ct5SJEu=w408-h306-k-no"" , ""link"")"
L4,34.5574186,-118.1289579,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipMgYgLRJ6rHwnXZhaDiJFzHgIQkRX79Y6gtEK9b=w408-h245-k-no"" , ""link"")"
L5,34.55767,-118.1289422,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vpk6jG-sTBIMbTErfB_ILw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=321.65024&pitch=0&thumbfov=100"" , ""link"")"
L6,34.5578272,-118.1297796,,default
L7,34.55666789999999,-118.1384854,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iFDPNBy32_ijXhDKUdC-lg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=245.2588&pitch=0&thumbfov=100"" , ""link"")"
L8,34.5579042,-118.1355128,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zTdHimSEnX9H-_LLdGhBWg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=177.48871&pitch=0&thumbfov=100"" , ""link"")"
L9,34.5687173,-118.1001318,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QBDP8Z5aIfiERtBgNSkVNQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=154.897&pitch=0&thumbfov=100"" , ""link"")"
L10,34.5688834,-118.1376093,,"=HYPERLINK(""https://lh5.googleusercontent.com/p/AF1QipPV6DiP8w2ZE55mFuc256KU-nOvQzfEKnKKbu2C=w408-h306-k-no"" , ""link"")"
L11,34.5689278,-118.138193,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kjwxj6jLqbRCPLe_hXkoZg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=120.66439&pitch=0&thumbfov=100"" , ""link"")"
L12,34.565907,-118.0709788,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J8__YtLNdpNC1hqFPSu67A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=352.7568&pitch=0&thumbfov=100"" , ""link"")"
L13,34.5906077,-118.1194337,,default
L14,34.5903872,-118.1204972,,default
L15,34.5903405,-118.1219602,,default
L16,34.5915235,-118.1223259,,default
L17,34.5790567,-118.093032,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iBE7sD1TIbX3eA5cfvE76w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=11.677558&pitch=0&thumbfov=100"" , ""link"")"
L18,34.5804391,-118.0923118,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ma8Z9hmRK3Hdeih-M6QP-w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.1605&pitch=0&thumbfov=100"" , ""link"")"
L19,34.5802625,-118.0964652,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=50ME757vDQECU7YdNQ5Btw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=318.60184&pitch=0&thumbfov=100"" , ""link"")"
L20,34.5805716,-118.110123,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-zgxQMiu1N87fe2runauZg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.113495&pitch=0&thumbfov=100"" , ""link"")"
L21,34.5803596,-118.1195751,,"=HYPERLINK(""https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6BWagfvP5QKcXW-5LP7Twg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=87.99134&pitch=0&thumbfov=100"" , ""link"")"
L22,34.579304,-118.126109,,default
L23,34.5810764,-118.1268745,
